# Data table resources from LogicResources::createDataTableResourcesArray (0x421b04).
# classId, csv path (relative to assets/), flag. Entry 0 is the empty table.
0,EMPTY,1
1,csv_logic/locales.csv,0
2,csv_client/billing_packages.csv,0
3,csv_logic/globals.csv,0
4,csv_client/sounds.csv,0
5,csv_logic/resources.csv,0
6,csv_logic/projectiles.csv,0
7,csv_client/effects.csv,0
8,csv_logic/alliance_badges.csv,0
9,csv_client/client_globals.csv,0
10,csv_client/particle_emitters.csv,0
11,csv_client/health_bars.csv,0
12,csv_client/music.csv,0
13,csv_client/credits.csv,0
14,csv_logic/regions.csv,0
15,csv_logic/locations.csv,0
16,csv_logic/characters.csv,0
17,csv_logic/area_effects.csv,0
18,csv_logic/items.csv,0
19,csv_logic/maps.csv,0
20,csv_logic/skills.csv,0
21,csv_logic/campaign.csv,0
22,csv_logic/bosses.csv,0
23,csv_logic/cards.csv,0
24,csv_client/animations.csv,0
25,csv_logic/alliance_roles.csv,0
26,csv_client/tutorial.csv,0
27,csv_logic/tiles.csv,0
28,csv_logic/player_thumbnails.csv,0
29,csv_logic/skins.csv,0
30,csv_client/faces.csv,0
35,csv_logic/pins.csv,0
36,csv_client/hints.csv,0
38,csv_logic/skinsrarity.csv,0
39,csv_logic/milestones.csv,0
40,csv_logic/messages.csv,0
41,csv_logic/themes.csv,0
42,csv_client/links.csv,0
43,csv_logic/name_colors.csv,0
44,csv_logic/skin_confs.csv,0
45,csv_client/shop_items.csv,0
46,csv_client/color_gradients.csv,0
47,csv_logic/location_themes.csv,0
48,csv_logic/game_mode_variations.csv,0
49,csv_logic/challenges.csv,0
50,csv_logic/accessories.csv,0
51,csv_client/local_notifications.csv,0
52,csv_logic/emotes.csv,0
53,csv_logic/emote_bundles.csv,0
54,csv_logic/player_map_environments.csv,0
55,csv_logic/map_templates.csv,0
56,csv_logic/seasonal_skin_sections.csv,0
57,csv_logic/skin_campaigns.csv,0
58,csv_logic/ranked_ranks.csv,0
59,csv_logic/ranked_locations.csv,0
60,csv_logic/carryables.csv,0
