address,name,size
0x17de40,_sub_17DE40,0x14
0x17de60,_.png_write_zTXt,0x10
0x17de70,_.png_write_bKGD,0x10
0x17de80,_._ZN8safe_jni15static_functionIN6yoozoo3com8supersdk7openapi8SuperSDKEvEclIJ6StringS8_NS1_4java4util3MapEEEEvDpT_,0x10
0x17de90,_._ZN8safe_jni8functionIN18safe_jni_generated3com7android15installreferrer3api15ReferrerDetailsE6StringEclIJEEES7_P8_jobjectDpT_,0x10
0x17dea0,_.FT_Select_Charmap,0x10
0x17deb0,_.ZSTD_decodeLiteralsBlock,0x10
0x17dec0,_.png_set_add_alpha,0x10
0x17ded0,_._ZN8safe_jni4ctorIN18safe_jni_generated4java4lang7IntegerEEclIJiEEEP8_jobjectDpT_,0x10
0x17dee0,_.AAssetManager_fromJava,0x10
0x17def0,_.sentry_set_tag,0x10
0x17df00,_.ZSTD_createDDict_advanced,0x10
0x17df10,_.png_colorspace_set_chromaticities,0x10
0x17df20,_._ZN4FMOD5Sound9getLengthEPjj,0x10
0x17df30,_._ZN6icu_587UMemorynwEm,0x10
0x17df40,_.ZSTD_freeDDict,0x10
0x17df50,_.png_create_info_struct,0x10
0x17df60,_.strtod,0x10
0x17df70,_._ZNSt6__ndk113basic_ostreamIwNS_11char_traitsIwEEE6sentryD2Ev,0x10
0x17df80,_.ZSTD_compress_advanced_internal,0x10
0x17df90,_.png_set_background_fixed,0x10
0x17dfa0,_.strlen,0x10
0x17dfb0,_.ft_glyphslot_free_bitmap,0x10
0x17dfc0,_.pthread_condattr_destroy,0x10
0x17dfd0,_.__strlen_chk,0x10
0x17dfe0,_.png_get_valid,0x10
0x17dff0,_.png_colorspace_sync,0x10
0x17e000,_.png_destroy_gamma_table,0x10
0x17e010,_.HUF_decompress4X_usingDTable_bmi2,0x10
0x17e020,_.closedir,0x10
0x17e030,_.madvise,0x10
0x17e040,_._ZN18safe_jni_generated3com7android15installreferrer3api28InstallReferrerStateListenerC2Ev,0x10
0x17e050,_.strtoull,0x10
0x17e060,_.FTC_CMapCache_New,0x10
0x17e070,_.getcwd,0x10
0x17e080,_.FSE_writeNCount,0x10
0x17e090,_.FT_Matrix_Invert,0x10
0x17e0a0,_.calloc,0x10
0x17e0b0,_._ZNSt6__ndk112__hash_tableINS_17__hash_value_typeIiNS_4pairIPN8safe_jni5ProxyEP8_jobjectEEEENS_22__unordered_map_hasherIiS9_NS_4hashIiEELb1EEENS_21__unordered_map_equalIiS9_NS_8equal_toIiEELb1EEENS_9allocatorIS9_EEE8__rehashEm,0x10
0x17e0c0,_.dlclose,0x10
0x17e0d0,_.sigfillset,0x10
0x17e0e0,_._ZN18safe_jni_generated3com7android15installreferrer3api15ReferrerDetails32getReferrerClickTimestampSecondsEv,0x10
0x17e0f0,_.png_write_cHRM_fixed,0x10
0x17e100,_.FT_Request_Metrics,0x10
0x17e110,_.glUniform2fv,0x10
0x17e120,_.ZSTD_decompressBlock_internal,0x10
0x17e130,_.png_set_unknown_chunks,0x10
0x17e140,_.png_error,0x10
0x17e150,_.tanf,0x10
0x17e160,_.glHint,0x10
0x17e170,_.FT_Stream_TryRead,0x10
0x17e180,_._ZN8safe_jni15SetGlobalJavaVMEP7_JavaVM,0x10
0x17e190,_.ZSTD_buildFSETable,0x10
0x17e1a0,_.png_write_sPLT,0x10
0x17e1b0,_._ZN6yoozoo3com8supersdk7openapi8SuperSDK9lifecycle9onDestroyEv,0x10
0x17e1c0,_._ZN8safe_jni7ConvertIN18safe_jni_generated7android2os20ParcelFileDescriptorEvE12CallFunctionEP10_jmethodIDP8_jobjectz,0x10
0x17e1d0,_.glGenerateMipmap,0x10
0x17e1e0,_._ZNSt6__ndk113random_deviceC2ERKNS_12basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEE,0x10
0x17e1f0,_.png_icc_set_sRGB,0x10
0x17e200,_.glClearColor,0x10
0x17e210,_.ZSTD_freeCCtx,0x10
0x17e220,_.eventfd,0x10
0x17e230,_._ZN4asio6detail13posix_tss_ptrINS0_10call_stackINS0_23strand_executor_service11strand_implEhE7contextEEC2Ev,0x10
0x17e240,_.png_read_chunk_header,0x10
0x17e250,_._ZN4FMOD14ChannelControl9getVolumeEPf,0x10
0x17e260,_._ZN4asio2ip20basic_resolver_queryINS0_3tcpEEC2ERKS3_,0x10
0x17e270,_._ZN8linecorp4nova7NovaSDK15getGraphServiceEv,0x10
0x17e280,_.FT_Set_Char_Size,0x10
0x17e290,_._ZN4miit3com3bun8miitmdid7content15SystemParamters13getSdkVersionEv,0x10
0x17e2a0,_._ZNKSt6__ndk16locale4nameEv,0x10
0x17e2b0,_._ZNSt6__ndk16localeD1Ev,0x10
0x17e2c0,_.ZSTD_invalidateRepCodes,0x10
0x17e2d0,_._ZN8linecorp4nova12GraphService10getProfileERKNSt6__ndk18functionIFvbPKNS0_5graph5model7ProfileEPKNS0_5ErrorEEEE,0x10
0x17e2e0,_.ZSTD_sizeof_CCtx,0x10
0x17e2f0,_.png_set_invert_mono,0x10
0x17e300,_.FT_Get_Postscript_Name,0x10
0x17e310,_.glEnableVertexAttribArray,0x10
0x17e320,_._ZN8linecorp4nova11AuthManager6logoutERKNSt6__ndk18functionIFvbPKNS0_5ErrorEEEE,0x10
0x17e330,_.localeconv,0x10
0x17e340,_.HUF_readStats_wksp,0x10
0x17e350,_.FT_Stream_OpenLZW,0x10
0x17e360,_.clock_gettime,0x10
0x17e370,_.ZSTD_ldm_generateSequences,0x10
0x17e380,_._ZNK8linecorp4nova11AuthManager10isLoggedInEv,0x10
0x17e390,_.poll,0x10
