address,name,size
0x59387c,_ZNK15LogicLocaleData17getForcedFontNameEv,0x8
0x593884,_ZN15LogicClientHome15addNotificationEP16BaseNotification,0x164
0x5939e8,_ZN10SCTuneImpl8addColorERK6StringPiPKcP20SCTuneChangeListenerib,0x70
0x593a58,_ZN25LogicAvatarChangeListenerC2Ev,0x10
0x593a68,_ZNK14SceneCharacter8getTileYEv,0x1c
0x593a84,_ures_getStringByIndex_58,0x1ac
0x593c30,_ZNK13LogicCardData8getValueEv,0x8
0x593c38,_ZNSt6__ndk110__function6__funcIZN22scLZMADecompressFilter13setDownstreamEP10scFileImplE3$_0NS_9allocatorIS5_EEFvvEED0Ev,0x4
0x593c3c,_ZN6icu_5813UnicodeStringC2EaPKti,0xe4
0x593d20,_ZN18scWorkerPoolWorkerC2EP12scWorkerPoolRKNSt6__ndk112basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEi,0xf0
0x593e10,_ZN31TeamAllianceMemberInviteMessageC2Eiii,0x4c
0x593e5c,_ZN9sc3dWorld16updateAnimationsEf,0x6c
0x593ec8,_ZNKSt6__ndk110__function6__funcIZN7GLImage14updateSubImageEPKciiiiiiE4$_10NS_9allocatorIS5_EEFvvEE11target_typeEv,0xc
0x593ed4,_ZN12DecalManagerC2EP12RenderSystem,0x14
0x593ee8,_ZN17GameCenterManager17gameCenterFriendsEiP6String,0x168
0x594050,_ZNK23StarPointMigrationPopup28allowClosingFromModalTappingEv,0x8
0x594058,_ZNKSt6__ndk110__function6__funcIZN7GLImage6createEPKhi9ImageWrap11ImageFilterE3$_2NS_9allocatorIS7_EEFvvEE7__cloneEv,0x48
0x5940a0,_ZN6icu_5823UCharsDictionaryMatcherD0Ev,0x38
0x5940d8,_ZN26sc3dWorldCombiningRenderer17renderBucketRangeERKN11wendelstein21MovieClipRendererData11BucketRangeE,0xf8
0x5941d0,_ZN14LoginOkMessage16setFacebookAppIdEP6String,0x8
0x5941d8,_ZN11DragHandler10touchMovedERK5Touch,0x100
0x5942d8,_ZN8Material4copyERKS_,0x144
0x59441c,_ZNK19LogicResourceBundle7getDataEi,0x30
0x5946ec,_ZN16HelpshiftManager15storeAvatarTierEv,0x78
0x594764,_ZNK17LogicGameCalendar13getDaysInYearEi,0x10
0x594774,_ZN16UdpPacketHandler7receiveEP9UdpPacketfP25IUdpSocketMessageListener,0x2dc
0x594a50,_ZN15LogicJSONObjectC2Ev,0x38
0x594a88,_ZL12noopSetStateP13UCharIteratorjP10UErrorCode,0xc
0x594a94,_ZNSt6__ndk110__function6__funcIZN19SupercellIdCallback20setNotificationBadgeEP8_jobjectbiE4$_19NS_9allocatorIS5_EEFvvEE18destroy_deallocateEv,0x4
0x594a98,_ZN29AvatarNameChangeFailedMessage9getReasonEv,0x8
0x594aa0,_ZN8Databind24NlohmannJsonOutReflector25reflectNextObjectOptionalEb,0x68
0x594b08,_ZN9sc3dWorld4drawERK9xMatrix44iPNSt6__ndk16vectorIP15sc3dWorldObjectNS3_9allocatorIS6_EEEE,0x34
0x594b3c,_Z10frandRangeff,0x40
0x594b7c,_ZNSt6__ndk110__function6__funcIZ42Java_com_supercell_titan_Kakao_loginFailedE3$_3NS_9allocatorIS2_EEFvvEE7destroyEv,0x8
0x594b84,_ZN8NewsPage7NewsTab21setUpNotificationClipEP9MovieClip,0x50
0x594bd4,_ZN9TeamPopupD0Ev,0x24
0x594bf8,_ZN13LogicSkinData21setBossAutoAttackAnimERK6String,0x8
0x594c00,_ZNSt6__ndk110__function6__funcIZN24DataLoaderLayeredTexture4loadEPKcRKNS_5arrayIiLm4EEEE3$_1NS_9allocatorIS9_EEFjvEED0Ev,0x4
0x594c04,_ZNK23LogicCharacterClientOwn19getUltiModeOnClientEv,0x20
0x594c24,_ZN8Databind15JSONInReflector15enterNextObjectEv,0xa0
0x594cc4,_ZN16LogicSkillServer9hasButtonEv,0x8
0x594ccc,_ZN21LogicBattleModeServer27getRandomTileIndexForObjectEiiPK14LogicArrayListIP12LogicVector2Eiii,0x284
0x594f50,_ZN23ChangeAvatarNameMessage16setNameSetByUserEb,0xc
0x594f5c,_ZN9TextInput10inputEndedEv,0x8
0x594f64,_ZN21LogicBattleModeServer12tickTakedownEv,0x4
0x594f68,_ZN5titan3com9supercell5titan19ApplicationUtilBase11getOpenUDIDEv,0x70
0x594fd8,_ZNK11FontManager12getFontCountEv,0x8
0x594fe0,_ZN19IGameCenterListener29gameCenterProfilePictureErrorERK6String,0x4
0x594fe4,_ZN16AllianceWarPopupD0Ev,0x24
0x595008,_ZN23DeviceLinkedStreamEntry8destructEv,0x4
0x59500c,_ZNKSt6__ndk110__function6__funcIZN11scTaskQueue3runIZN6Shader4loadEPKcS6_S6_E3$_1EENS_13invoke_resultIT_JEE4typeES9_EUlvE_NS_9allocatorISC_EEFvvEE7__cloneEv,0x38
0x595044,_ZNK9Messaging19serverHelloReceivedEv,0x10
0x595054,_ZN19EnvironmentRenderer19addMovieClipTextureEP16MovieClipTexture,0xd8
0x59512c,_ZN20PlayerNameColorPopupD2Ev,0xa8
0x5951d4,_ZN24LogicExpressionEvaluator9readTokenEv,0x2d4
0x5954a8,_ZN16GameStateManager13changeToStateEv,0x80
0x595528,_ZN13LogicConfData16getChallengeWinsEv,0x44
0x59556c,_ZN14MessageManager20requestSeasonRewardsEi,0x1b8
0x595724,_ZN15LogicJSONParser16createJSONStringEPK13LogicJSONNodei,0x64
