address,name,size
0x27b52c,_ZN27SCIDLogoutAllDevicesMessage6decodeEv,0x2c
0x27b558,_ZN14TeamInvitation6encodeEP10ByteStream,0x3c
0x27b594,_ZN21LogicBattleModeClient18teamHasSpecialStarEi,0x54
0x27b5e8,_ZN17FriendListMessage8destructEv,0xac
0x27b694,_ZNK16ServerConnection17getSelectedLocaleEv,0x110
0x27b7a4,_ZNSt6__ndk110__function6__funcIZN7GLImage14updateSubImageEPKciiiiiiE4$_10NS_9allocatorIS5_EEFvvEE18destroy_deallocateEv,0x4
0x27b7a8,_ZNK12BattleScreen13getUltiStickYEv,0x8
0x27b7b0,_ZNKSt6__ndk110__function6__funcIZN12RenderSystem24startEffectManagerUpdateEfE3$_0NS_9allocatorIS3_EEFvvEE7__cloneEv,0x38
0x27b7e8,_ZN15MapEditorScreen29transformParentTileCoordinateERiS0_i,0x40
0x27b828,_ZN37GoogleBillingProcessedByServerMessageC2Ei,0x74
0x27b89c,_ZN13GoHomeMessageC2Ev,0x34
0x27b8d0,_ZN31PurchaseOfferBundlePopupHandler13getOfferIndexEv,0x64
0x27b934,_ZN23AskPlayerJWTokenMessageC2Ev,0x30
0x27b964,_ubidi_getJoiningGroup_58,0x58
0x27b9bc,_ubrk_open_58,0x1f8
0x27bbb4,_ZNSt6__ndk110__function6__funcIZN11scTaskQueue3runIZ62Java_com_supercell_titan_TitanWebView_shouldOverrideUrlLoadingE3$_0EENS_13invoke_resultIT_JEE4typeES6_EUlvE_NS_9allocatorIS9_EEFvvEE7destroyEv,0x4
0x27bbb8,_ZN8Selfhelp10setGameJWTERK6String,0xfc
0x27bcb4,_ZN6Sprite13removeChildAtEi,0xc8
0x27bd7c,_ZN20NativeSCIDConnection13claimShopItemERK6String,0x8
0x27bd84,_ZN10TestRunnerD0Ev,0x24
0x27bda8,_ZNSt6__ndk110__function6__funcIZN6Shader4loadEPKcS4_S4_E3$_1NS_9allocatorIS5_EEFvvEE18destroy_deallocateEv,0x4
0x27bdac,_ZN7GLImage6createEPKhi9ImageWrap11ImageFilter,0x10a4
0x27ce50,_ZN14MovieClipFrameC2Ev,0x8
0x27ce58,_ZNK15LogicJSONString14getStringValueEv,0x8
0x27ce60,_ZN12FriendsPopup6updateEf,0x4c
0x27ceac,_ZN17OnlineFriendsList13buttonClickedEP12CustomButton,0x144
0x27cff0,_ZL18udata_getHashTableR10UErrorCode,0xd4
0x27d0c4,_ZN14DataLoaderJSONC2Ev,0x5c
0x27d120,_ZN31PurchaseOfferBundlePopupHandler13setupItemDescEP9TextFieldi,0x18
0x27d138,_ZN8HomePage15refreshKeyQuotaEP9MovieClip,0x444
0x27d57c,_ZN11LineManagerD2Ev,0x1e8
0x27d764,_ZN5titan3com9supercell5titan19GoogleServiceClient20getPlayerDisplayNameEv,0x7c
0x27d7e0,_ZN9CombatHUD24addHintFingerToMoveStickEv,0x70
0x27d850,_ZN9LogicMath3cosEi,0x80
0x27d8d0,_ZN5titan7android4view7Display8getWidthEv,0x7c
0x27d94c,_ZN14BattleEndPopup18setupOutcomeHeaderEP9MovieClipRK6String,0xa14
0x27e360,_Z15numberOfSetBitsj,0x34
0x27e394,_ZL19free_static_shapersv,0x20
0x27e3b4,_ZNK36AppleBillingProcessedByServerMessage13getStatusCodeEv,0x8
0x27e3bc,_ZN11TeamMessage6encodeEv,0x28
